,region/country/area,year,series,type,tourism_arrivals_series_type,value,footnotes,continent
817,Grenada,2010,Tourism expenditure (millions of US dollars),Tourism,TE,112.0,Excluding passenger transport.,Americas
818,Grenada,2020,Tourism expenditure (millions of US dollars),Tourism,TE,186.0,Excluding passenger transport.,Americas
819,Grenada,2021,Tourism expenditure (millions of US dollars),Tourism,TE,232.0,Excluding passenger transport.,Americas
820,Grenada,2022,Tourism expenditure (millions of US dollars),Tourism,TE,569.0,Excluding passenger transport.,Americas
821,Guadeloupe,1995,Tourist/visitor arrivals (thousands),Tourism,TF,640.0,"Arrivals by air.;Excluding the north islands, Saint Barthélemy and Saint Martin (French part).;Non-resident tourists staying in all types of accommodation establishments.",Americas
822,Guadeloupe,2005,Tourist/visitor arrivals (thousands),Tourism,TF,372.0,"Arrivals by air.;Excluding the north islands, Saint Barthélemy and Saint Martin (French part).",Americas
823,Guadeloupe,2010,Tourist/visitor arrivals (thousands),Tourism,TF,392.0,"Arrivals by air.;Excluding the north islands, Saint Barthélemy and Saint Martin (French part).",Americas
824,Guadeloupe,1995,Tourism expenditure (millions of US dollars),Tourism,TE,458.0,,Americas
825,Guadeloupe,2005,Tourism expenditure (millions of US dollars),Tourism,TE,306.0,,Americas
826,Guadeloupe,2010,Tourism expenditure (millions of US dollars),Tourism,TE,510.0,,Americas
827,Guam,1995,Tourist/visitor arrivals (thousands),Tourism,TF,1362.0,Air and sea arrivals.,Oceania
828,Guam,2005,Tourist/visitor arrivals (thousands),Tourism,TF,1228.0,Air and sea arrivals.,Oceania
829,Guam,2010,Tourist/visitor arrivals (thousands),Tourism,TF,1197.0,Air and sea arrivals.,Oceania
830,Guam,2020,Tourist/visitor arrivals (thousands),Tourism,TF,328.0,Air and sea arrivals.,Oceania
831,Guam,2021,Tourist/visitor arrivals (thousands),Tourism,TF,79.0,Air and sea arrivals.,Oceania
832,Guam,2022,Tourist/visitor arrivals (thousands),Tourism,TF,328.0,Air and sea arrivals.,Oceania
833,Guatemala,2010,Tourist/visitor arrivals (thousands),Tourism,TF,1119.0,,Americas
834,Guatemala,2020,Tourist/visitor arrivals (thousands),Tourism,TF,396.0,,Americas
835,Guatemala,2021,Tourist/visitor arrivals (thousands),Tourism,TF,602.0,,Americas
836,Guatemala,2022,Tourist/visitor arrivals (thousands),Tourism,TF,1494.0,,Americas
837,Guatemala,1995,Tourism expenditure (millions of US dollars),Tourism,TE,216.0,,Americas
838,Guatemala,2005,Tourism expenditure (millions of US dollars),Tourism,TE,791.0,,Americas
839,Guatemala,2010,Tourism expenditure (millions of US dollars),Tourism,TE,1053.0,,Americas
840,Guatemala,2020,Tourism expenditure (millions of US dollars),Tourism,TE,329.0,,Americas
841,Guatemala,2021,Tourism expenditure (millions of US dollars),Tourism,TE,393.0,,Americas
842,Guatemala,2022,Tourism expenditure (millions of US dollars),Tourism,TE,992.0,,Americas
843,Guinea,2005,Tourist/visitor arrivals (thousands),Tourism,TF,45.0,Arrivals by air at Conakry airport.,Africa
844,Guinea,2010,Tourist/visitor arrivals (thousands),Tourism,TF,12.0,Arrivals by air at Conakry airport.,Africa
845,Guinea,1995,Tourism expenditure (millions of US dollars),Tourism,TE,1.0,,Africa
846,Guinea,2010,Tourism expenditure (millions of US dollars),Tourism,TE,2.0,,Africa
847,Guinea,2020,Tourism expenditure (millions of US dollars),Tourism,TE,1.0,,Africa
848,Guinea,2021,Tourism expenditure (millions of US dollars),Tourism,TE,13.0,,Africa
849,Guinea,2022,Tourism expenditure (millions of US dollars),Tourism,TE,11.0,,Africa
850,Guinea-Bissau,2005,Tourist/visitor arrivals (thousands),Tourism,TF,5.0,"Arrivals at ""Osvaldo Vieira"" Airport.",Africa
851,Guinea-Bissau,2010,Tourist/visitor arrivals (thousands),Tourism,TF,22.0,"Arrivals at ""Osvaldo Vieira"" Airport.",Africa
852,Guinea-Bissau,2005,Tourism expenditure (millions of US dollars),Tourism,TE,2.0,Excluding passenger transport.,Africa
853,Guinea-Bissau,2010,Tourism expenditure (millions of US dollars),Tourism,TE,13.0,Excluding passenger transport.,Africa
854,Guinea-Bissau,2020,Tourism expenditure (millions of US dollars),Tourism,TE,3.0,Excluding passenger transport.,Africa
855,Guinea-Bissau,2021,Tourism expenditure (millions of US dollars),Tourism,TE,16.0,Excluding passenger transport.,Africa
856,Guyana,1995,Tourist/visitor arrivals (thousands),Tourism,TF,106.0,,Americas
857,Guyana,2005,Tourist/visitor arrivals (thousands),Tourism,TF,117.0,,Americas
858,Guyana,2010,Tourist/visitor arrivals (thousands),Tourism,TF,152.0,,Americas
859,Guyana,2020,Tourist/visitor arrivals (thousands),Tourism,TF,87.0,,Americas
860,Guyana,2021,Tourist/visitor arrivals (thousands),Tourism,TF,158.0,,Americas
861,Guyana,2022,Tourist/visitor arrivals (thousands),Tourism,TF,288.0,,Americas
862,Guyana,1995,Tourism expenditure (millions of US dollars),Tourism,TE,33.0,Excluding passenger transport.,Americas
863,Guyana,2005,Tourism expenditure (millions of US dollars),Tourism,TE,35.0,Excluding passenger transport.,Americas
864,Guyana,2010,Tourism expenditure (millions of US dollars),Tourism,TE,80.0,Excluding passenger transport.,Americas
865,Guyana,2020,Tourism expenditure (millions of US dollars),Tourism,TE,24.0,Excluding passenger transport.,Americas
866,Guyana,2021,Tourism expenditure (millions of US dollars),Tourism,TE,26.0,Excluding passenger transport.,Americas
867,Haiti,1995,Tourist/visitor arrivals (thousands),Tourism,TF,145.0,Including nationals residing abroad.;Arrivals by air.,Americas
868,Haiti,2005,Tourist/visitor arrivals (thousands),Tourism,TF,112.0,Including nationals residing abroad.;Arrivals by air.,Americas
869,Haiti,2010,Tourist/visitor arrivals (thousands),Tourism,TF,255.0,Including nationals residing abroad.;Arrivals by air.,Americas
870,Haiti,2020,Tourist/visitor arrivals (thousands),Tourism,TF,203.0,Including nationals residing abroad.;Arrivals by air.,Americas
871,Haiti,2021,Tourist/visitor arrivals (thousands),Tourism,TF,148.0,Including nationals residing abroad.;Arrivals by air.,Americas
872,Haiti,1995,Tourism expenditure (millions of US dollars),Tourism,TE,90.0,Excluding passenger transport.,Americas
873,Haiti,2005,Tourism expenditure (millions of US dollars),Tourism,TE,80.0,Excluding passenger transport.,Americas
874,Haiti,2010,Tourism expenditure (millions of US dollars),Tourism,TE,383.0,Excluding passenger transport.,Americas
875,Haiti,2020,Tourism expenditure (millions of US dollars),Tourism,TE,102.0,Excluding passenger transport.,Americas
876,Haiti,2021,Tourism expenditure (millions of US dollars),Tourism,TE,110.0,Excluding passenger transport.,Americas
877,Haiti,2022,Tourism expenditure (millions of US dollars),Tourism,TE,73.0,Excluding passenger transport.,Americas
878,Honduras,1995,Tourist/visitor arrivals (thousands),Tourism,TF,271.0,,Americas
879,Honduras,2005,Tourist/visitor arrivals (thousands),Tourism,TF,673.0,,Americas
880,Honduras,2010,Tourist/visitor arrivals (thousands),Tourism,TF,863.0,,Americas
881,Honduras,2020,Tourist/visitor arrivals (thousands),Tourism,TF,204.0,,Americas
882,Honduras,2021,Tourist/visitor arrivals (thousands),Tourism,TF,459.0,,Americas
883,Honduras,2022,Tourist/visitor arrivals (thousands),Tourism,TF,844.0,,Americas
884,Honduras,1995,Tourism expenditure (millions of US dollars),Tourism,TE,85.0,,Americas
885,Honduras,2005,Tourism expenditure (millions of US dollars),Tourism,TE,465.0,,Americas
886,Honduras,2010,Tourism expenditure (millions of US dollars),Tourism,TE,627.0,,Americas
887,Honduras,2020,Tourism expenditure (millions of US dollars),Tourism,TE,157.0,,Americas
888,Honduras,2021,Tourism expenditure (millions of US dollars),Tourism,TE,305.0,,Americas
889,Honduras,2022,Tourism expenditure (millions of US dollars),Tourism,TE,552.0,,Americas
890,Hungary,1995,Tourist/visitor arrivals (thousands),Tourism,TF,2878.0,,Europe
891,Hungary,2005,Tourist/visitor arrivals (thousands),Tourism,TF,9979.0,,Europe
892,Hungary,2010,Tourist/visitor arrivals (thousands),Tourism,TF,9510.0,,Europe
893,Hungary,2020,Tourist/visitor arrivals (thousands),Tourism,TF,7417.0,Data revision.,Europe
894,Hungary,2021,Tourist/visitor arrivals (thousands),Tourism,TF,7929.0,,Europe
895,Hungary,2022,Tourist/visitor arrivals (thousands),Tourism,TF,12649.0,,Europe
896,Hungary,1995,Tourism expenditure (millions of US dollars),Tourism,TE,2938.0,,Europe
897,Hungary,2005,Tourism expenditure (millions of US dollars),Tourism,TE,4761.0,,Europe
898,Hungary,2010,Tourism expenditure (millions of US dollars),Tourism,TE,6595.0,,Europe
899,Hungary,2020,Tourism expenditure (millions of US dollars),Tourism,TE,4223.0,,Europe
900,Hungary,2021,Tourism expenditure (millions of US dollars),Tourism,TE,5791.0,,Europe
901,Hungary,2022,Tourism expenditure (millions of US dollars),Tourism,TE,8984.0,,Europe
902,Iceland,1995,Tourist/visitor arrivals (thousands),Tourism,TF,190.0,,Europe
903,Iceland,2005,Tourist/visitor arrivals (thousands),Tourism,TF,374.0,,Europe
904,Iceland,2010,Tourist/visitor arrivals (thousands),Tourism,TF,489.0,,Europe
905,Iceland,2020,Tourist/visitor arrivals (thousands),Tourism,TF,486.0,,Europe
906,Iceland,2021,Tourist/visitor arrivals (thousands),Tourism,TF,698.0,,Europe
907,Iceland,1995,Tourism expenditure (millions of US dollars),Tourism,TE,186.0,Excluding passenger transport.,Europe
908,Iceland,2005,Tourism expenditure (millions of US dollars),Tourism,TE,413.0,Excluding passenger transport.,Europe
909,Iceland,2010,Tourism expenditure (millions of US dollars),Tourism,TE,562.0,Excluding passenger transport.,Europe
910,Iceland,2020,Tourism expenditure (millions of US dollars),Tourism,TE,654.0,Excluding passenger transport.,Europe
911,Iceland,2021,Tourism expenditure (millions of US dollars),Tourism,TE,1303.0,Excluding passenger transport.,Europe
912,Iceland,2022,Tourism expenditure (millions of US dollars),Tourism,TE,2468.0,Excluding passenger transport.,Europe
913,India,1995,Tourist/visitor arrivals (thousands),Tourism,TF,2124.0,,Asia
914,India,2005,Tourist/visitor arrivals (thousands),Tourism,TF,3919.0,,Asia
915,India,2010,Tourist/visitor arrivals (thousands),Tourism,TF,5776.0,,Asia
916,India,2020,Tourist/visitor arrivals (thousands),Tourism,TF,6291.0,Including nationals residing abroad.,Asia
917,India,2021,Tourist/visitor arrivals (thousands),Tourism,TF,6989.0,Including nationals residing abroad.,Asia
918,India,2005,Tourism expenditure (millions of US dollars),Tourism,TE,7659.0,,Asia
919,India,2020,Tourism expenditure (millions of US dollars),Tourism,TE,13413.0,,Asia
920,India,2021,Tourism expenditure (millions of US dollars),Tourism,TE,9135.0,,Asia
921,India,2022,Tourism expenditure (millions of US dollars),Tourism,TE,22410.0,,Asia
922,Indonesia,2020,Tourist/visitor arrivals (thousands),Tourism,TF,3915.0,,Asia
923,Indonesia,2021,Tourist/visitor arrivals (thousands),Tourism,TF,1546.0,,Asia
924,Indonesia,2005,Tourism expenditure (millions of US dollars),Tourism,TE,5094.0,,Asia
925,Indonesia,2010,Tourism expenditure (millions of US dollars),Tourism,TE,7618.0,,Asia
926,Indonesia,2020,Tourism expenditure (millions of US dollars),Tourism,TE,3603.0,,Asia
927,Indonesia,2021,Tourism expenditure (millions of US dollars),Tourism,TE,548.0,,Asia
928,Indonesia,2022,Tourism expenditure (millions of US dollars),Tourism,TE,7036.0,,Asia
929,Iran (Islamic Republic of),1995,Tourist/visitor arrivals (thousands),Tourism,VF,452.0,,Asia
930,Iran (Islamic Republic of),2005,Tourist/visitor arrivals (thousands),Tourism,VF,1889.0,,Asia
931,Iran (Islamic Republic of),2010,Tourist/visitor arrivals (thousands),Tourism,VF,2938.0,,Asia
932,Iran (Islamic Republic of),2020,Tourist/visitor arrivals (thousands),Tourism,VF,1550.0,,Asia
933,Iran (Islamic Republic of),2021,Tourist/visitor arrivals (thousands),Tourism,VF,989.0,,Asia
934,Iran (Islamic Republic of),2022,Tourist/visitor arrivals (thousands),Tourism,VF,4108.0,,Asia
935,Iran (Islamic Republic of),1995,Tourism expenditure (millions of US dollars),Tourism,TE,205.0,,Asia
936,Iran (Islamic Republic of),2005,Tourism expenditure (millions of US dollars),Tourism,TE,1025.0,,Asia
937,Iran (Islamic Republic of),2010,Tourism expenditure (millions of US dollars),Tourism,TE,2631.0,,Asia
938,Iraq,1995,Tourist/visitor arrivals (thousands),Tourism,VF,61.0,,Asia
939,Iraq,2010,Tourist/visitor arrivals (thousands),Tourism,VF,1518.0,,Asia
940,Iraq,2005,Tourism expenditure (millions of US dollars),Tourism,TE,186.0,,Asia
941,Iraq,2010,Tourism expenditure (millions of US dollars),Tourism,TE,1736.0,,Asia
942,Iraq,2020,Tourism expenditure (millions of US dollars),Tourism,TE,955.0,,Asia
943,Iraq,2021,Tourism expenditure (millions of US dollars),Tourism,TE,1963.0,,Asia
944,Ireland,1995,Tourist/visitor arrivals (thousands),Tourism,TF,4818.0,Including tourists from Northern Ireland.,Europe
945,Ireland,2005,Tourist/visitor arrivals (thousands),Tourism,TF,7333.0,Including tourists from Northern Ireland.,Europe
946,Ireland,2010,Tourist/visitor arrivals (thousands),Tourism,TF,7134.0,Including tourists from Northern Ireland.,Europe
947,Ireland,1995,Tourism expenditure (millions of US dollars),Tourism,TE,2698.0,,Europe
948,Ireland,2005,Tourism expenditure (millions of US dollars),Tourism,TE,6779.0,,Europe
949,Ireland,2010,Tourism expenditure (millions of US dollars),Tourism,TE,8185.0,,Europe
950,Ireland,2020,Tourism expenditure (millions of US dollars),Tourism,TE,4665.0,,Europe
951,Ireland,2021,Tourism expenditure (millions of US dollars),Tourism,TE,5207.0,,Europe
952,Ireland,2022,Tourism expenditure (millions of US dollars),Tourism,TE,14186.0,,Europe
953,Israel,1995,Tourist/visitor arrivals (thousands),Tourism,TF,2215.0,Excluding nationals residing abroad.,Asia
954,Israel,2005,Tourist/visitor arrivals (thousands),Tourism,TF,1903.0,Excluding nationals residing abroad.,Asia
955,Israel,2010,Tourist/visitor arrivals (thousands),Tourism,TF,2803.0,Excluding nationals residing abroad.,Asia
956,Israel,2020,Tourist/visitor arrivals (thousands),Tourism,TF,831.0,Excluding nationals residing abroad.,Asia
957,Israel,2021,Tourist/visitor arrivals (thousands),Tourism,TF,397.0,Excluding nationals residing abroad.,Asia
958,Israel,2022,Tourist/visitor arrivals (thousands),Tourism,TF,2675.0,Excluding nationals residing abroad.,Asia
959,Israel,1995,Tourism expenditure (millions of US dollars),Tourism,TE,3491.0,Including the expenditures of foreign workers in Israel.,Asia
960,Israel,2005,Tourism expenditure (millions of US dollars),Tourism,TE,3750.0,Including the expenditures of foreign workers in Israel.,Asia
961,Israel,2010,Tourism expenditure (millions of US dollars),Tourism,TE,5638.0,Including the expenditures of foreign workers in Israel.,Asia
962,Israel,2020,Tourism expenditure (millions of US dollars),Tourism,TE,2629.0,Including the expenditures of foreign workers in Israel.,Asia
963,Israel,2021,Tourism expenditure (millions of US dollars),Tourism,TE,2356.0,Including the expenditures of foreign workers in Israel.,Asia
964,Israel,2022,Tourism expenditure (millions of US dollars),Tourism,TE,6266.0,Including the expenditures of foreign workers in Israel.,Asia
965,Italy,1995,Tourist/visitor arrivals (thousands),Tourism,TF,31052.0,Excluding seasonal and border workers.,Europe
966,Italy,2005,Tourist/visitor arrivals (thousands),Tourism,TF,36513.0,Excluding seasonal and border workers.,Europe
967,Italy,2010,Tourist/visitor arrivals (thousands),Tourism,TF,43626.0,Excluding seasonal and border workers.,Europe
968,Italy,2020,Tourist/visitor arrivals (thousands),Tourism,TF,25190.0,Excluding seasonal and border workers.,Europe
969,Italy,2021,Tourist/visitor arrivals (thousands),Tourism,TF,26888.0,Excluding seasonal and border workers.,Europe
970,Italy,2022,Tourist/visitor arrivals (thousands),Tourism,TF,49811.0,Excluding seasonal and border workers.,Europe
971,Italy,1995,Tourism expenditure (millions of US dollars),Tourism,TE,30411.0,,Europe
972,Italy,2005,Tourism expenditure (millions of US dollars),Tourism,TE,38364.0,,Europe
973,Italy,2020,Tourism expenditure (millions of US dollars),Tourism,TE,20317.0,,Europe
974,Italy,2021,Tourism expenditure (millions of US dollars),Tourism,TE,25355.0,,Europe
975,Italy,2022,Tourism expenditure (millions of US dollars),Tourism,TE,44848.0,,Europe
976,Jamaica,1995,Tourist/visitor arrivals (thousands),Tourism,TF,1147.0,Including nationals residing abroad; E/D cards.;Arrivals of non-resident tourists by air.,Americas
977,Jamaica,2005,Tourist/visitor arrivals (thousands),Tourism,TF,1479.0,Including nationals residing abroad; E/D cards.;Arrivals of non-resident tourists by air.,Americas
978,Jamaica,2010,Tourist/visitor arrivals (thousands),Tourism,TF,1922.0,Including nationals residing abroad; E/D cards.;Arrivals of non-resident tourists by air.,Americas
979,Jamaica,2020,Tourist/visitor arrivals (thousands),Tourism,TF,880.0,Including nationals residing abroad; E/D cards.;Arrivals of non-resident tourists by air.,Americas
980,Jamaica,2021,Tourist/visitor arrivals (thousands),Tourism,TF,1464.0,Including nationals residing abroad; E/D cards.;Arrivals of non-resident tourists by air.,Americas
981,Jamaica,2022,Tourist/visitor arrivals (thousands),Tourism,TF,2478.0,Including nationals residing abroad; E/D cards.;Arrivals of non-resident tourists by air.,Americas
982,Jamaica,1995,Tourism expenditure (millions of US dollars),Tourism,TE,1069.0,Excluding passenger transport.,Americas
983,Jamaica,2005,Tourism expenditure (millions of US dollars),Tourism,TE,1545.0,Excluding passenger transport.,Americas
984,Jamaica,2010,Tourism expenditure (millions of US dollars),Tourism,TE,2001.0,Excluding passenger transport.,Americas
985,Jamaica,2020,Tourism expenditure (millions of US dollars),Tourism,TE,1256.0,Excluding passenger transport.,Americas
986,Jamaica,2021,Tourism expenditure (millions of US dollars),Tourism,TE,2095.0,Excluding passenger transport.,Americas
987,Jamaica,2022,Tourism expenditure (millions of US dollars),Tourism,TE,3621.0,Excluding passenger transport.,Americas
988,Japan,1995,Tourist/visitor arrivals (thousands),Tourism,VF,3345.0,Excluding nationals residing abroad.,Asia
989,Japan,2005,Tourist/visitor arrivals (thousands),Tourism,VF,6728.0,Excluding nationals residing abroad.,Asia
990,Japan,2010,Tourist/visitor arrivals (thousands),Tourism,VF,8611.0,Excluding nationals residing abroad.,Asia
991,Japan,2020,Tourist/visitor arrivals (thousands),Tourism,VF,4116.0,Excluding nationals residing abroad.,Asia
992,Japan,2021,Tourist/visitor arrivals (thousands),Tourism,VF,246.0,Excluding nationals residing abroad.,Asia
993,Japan,2022,Tourist/visitor arrivals (thousands),Tourism,VF,3832.0,Excluding nationals residing abroad.,Asia
994,Japan,1995,Tourism expenditure (millions of US dollars),Tourism,TE,4894.0,,Asia
995,Japan,2005,Tourism expenditure (millions of US dollars),Tourism,TE,15554.0,Break in the time series.,Asia
996,Japan,2010,Tourism expenditure (millions of US dollars),Tourism,TE,15356.0,,Asia
997,Japan,2020,Tourism expenditure (millions of US dollars),Tourism,TE,11396.0,,Asia
998,Japan,2021,Tourism expenditure (millions of US dollars),Tourism,TE,5351.0,,Asia
999,Japan,2022,Tourism expenditure (millions of US dollars),Tourism,TE,10633.0,,Asia
1000,Jordan,1995,Tourist/visitor arrivals (thousands),Tourism,TF,1075.0,Including nationals residing abroad.,Asia
1001,Jordan,2005,Tourist/visitor arrivals (thousands),Tourism,TF,2987.0,Break in the time series.;Including nationals residing abroad.,Asia
1002,Jordan,2010,Tourist/visitor arrivals (thousands),Tourism,TF,4207.0,Including nationals residing abroad.,Asia
1003,Jordan,2020,Tourist/visitor arrivals (thousands),Tourism,TF,1067.0,Including nationals residing abroad.,Asia
1004,Jordan,2021,Tourist/visitor arrivals (thousands),Tourism,TF,2012.0,Including nationals residing abroad.,Asia
1005,Jordan,2022,Tourist/visitor arrivals (thousands),Tourism,TF,4277.0,Including nationals residing abroad.,Asia
1006,Jordan,1995,Tourism expenditure (millions of US dollars),Tourism,TE,973.0,,Asia
1007,Jordan,2005,Tourism expenditure (millions of US dollars),Tourism,TE,1759.0,,Asia
1008,Jordan,2010,Tourism expenditure (millions of US dollars),Tourism,TE,4390.0,,Asia
1009,Jordan,2020,Tourism expenditure (millions of US dollars),Tourism,TE,1745.0,,Asia
1010,Jordan,2021,Tourism expenditure (millions of US dollars),Tourism,TE,3426.0,,Asia
1011,Jordan,2022,Tourism expenditure (millions of US dollars),Tourism,TE,6913.0,,Asia
1012,Kazakhstan,2005,Tourist/visitor arrivals (thousands),Tourism,TF,4365.0,,Asia
1013,Kazakhstan,2010,Tourist/visitor arrivals (thousands),Tourism,TF,4097.0,,Asia
1014,Kazakhstan,2020,Tourist/visitor arrivals (thousands),Tourism,TF,2035.0,,Asia
1015,Kazakhstan,2021,Tourist/visitor arrivals (thousands),Tourism,TF,1330.0,,Asia
1016,Kazakhstan,2022,Tourist/visitor arrivals (thousands),Tourism,TF,4729.0,,Asia
1017,Kazakhstan,1995,Tourism expenditure (millions of US dollars),Tourism,TE,155.0,,Asia
1018,Kazakhstan,2005,Tourism expenditure (millions of US dollars),Tourism,TE,801.0,,Asia
1019,Kazakhstan,2010,Tourism expenditure (millions of US dollars),Tourism,TE,1236.0,,Asia
1020,Kazakhstan,2020,Tourism expenditure (millions of US dollars),Tourism,TE,743.0,,Asia
1021,Kazakhstan,2021,Tourism expenditure (millions of US dollars),Tourism,TE,761.0,,Asia
1022,Kazakhstan,2022,Tourism expenditure (millions of US dollars),Tourism,TE,1734.0,,Asia
1023,Kenya,1995,Tourist/visitor arrivals (thousands),Tourism,TF,918.0,Excluding nationals residing abroad.;Arrivals of non-resident visitors from all border entry points.,Africa
1024,Kenya,2005,Tourist/visitor arrivals (thousands),Tourism,TF,1399.0,Excluding nationals residing abroad.;Arrivals of non-resident visitors from all border entry points.,Africa
1025,Kenya,2010,Tourist/visitor arrivals (thousands),Tourism,TF,1470.0,Excluding nationals residing abroad.;Arrivals of non-resident visitors from all border entry points.,Africa
1026,Kenya,1995,Tourism expenditure (millions of US dollars),Tourism,TE,785.0,,Africa
1027,Kenya,2005,Tourism expenditure (millions of US dollars),Tourism,TE,969.0,,Africa
1028,Kenya,2010,Tourism expenditure (millions of US dollars),Tourism,TE,1620.0,,Africa
1029,Kenya,2020,Tourism expenditure (millions of US dollars),Tourism,TE,739.0,,Africa
1030,Kenya,2021,Tourism expenditure (millions of US dollars),Tourism,TE,1222.0,,Africa
1031,Kenya,2022,Tourism expenditure (millions of US dollars),Tourism,TE,1704.0,,Africa
1032,Kiribati,1995,Tourist/visitor arrivals (thousands),Tourism,TF,4.0,Air arrivals. Tarawa and Christmas Island.,Oceania
1033,Kiribati,2005,Tourist/visitor arrivals (thousands),Tourism,TF,4.0,Air arrivals. Tarawa and Christmas Island.,Oceania
1034,Kiribati,2010,Tourist/visitor arrivals (thousands),Tourism,TF,5.0,Air arrivals. Tarawa and Christmas Island.,Oceania
1035,Kiribati,2020,Tourist/visitor arrivals (thousands),Tourism,TF,1.0,Air arrivals. Tarawa and Christmas Island.,Oceania
1036,Kiribati,2021,Tourist/visitor arrivals (thousands),Tourism,TF,0.0,Air arrivals. Tarawa and Christmas Island.,Oceania
1037,Kiribati,2022,Tourist/visitor arrivals (thousands),Tourism,TF,2.0,Air arrivals. Tarawa and Christmas Island.,Oceania
1038,Kiribati,2010,Tourism expenditure (millions of US dollars),Tourism,TE,4.0,Excluding passenger transport.,Oceania
1039,Kiribati,2020,Tourism expenditure (millions of US dollars),Tourism,TE,0.0,Excluding passenger transport.,Oceania
1040,Kiribati,2021,Tourism expenditure (millions of US dollars),Tourism,TE,0.0,Excluding passenger transport.,Oceania
1041,Kiribati,2022,Tourism expenditure (millions of US dollars),Tourism,TE,2.0,Excluding passenger transport.,Oceania
1042,Kuwait,1995,Tourist/visitor arrivals (thousands),Tourism,THS,72.0,Non-resident tourists staying in hotels and similar establishments.,Asia
1043,Kuwait,2005,Tourist/visitor arrivals (thousands),Tourism,THS,104.0,Non-resident tourists staying in hotels and similar establishments.,Asia
1044,Kuwait,2010,Tourist/visitor arrivals (thousands),Tourism,THS,207.0,Non-resident tourists staying in hotels and similar establishments.,Asia
1045,Kuwait,2020,Tourist/visitor arrivals (thousands),Tourism,THS,86.0,Non-resident tourists staying in hotels and similar establishments.,Asia
1046,Kuwait,2021,Tourist/visitor arrivals (thousands),Tourism,THS,85.0,Non-resident tourists staying in hotels and similar establishments.,Asia
1047,Kuwait,1995,Tourism expenditure (millions of US dollars),Tourism,TE,307.0,,Asia
1048,Kuwait,2005,Tourism expenditure (millions of US dollars),Tourism,TE,413.0,,Asia
1049,Kuwait,2010,Tourism expenditure (millions of US dollars),Tourism,TE,574.0,,Asia
1050,Kuwait,2020,Tourism expenditure (millions of US dollars),Tourism,TE,526.0,,Asia
1051,Kuwait,2021,Tourism expenditure (millions of US dollars),Tourism,TE,708.0,,Asia
1052,Kuwait,2022,Tourism expenditure (millions of US dollars),Tourism,TE,1687.0,,Asia
1053,Kyrgyzstan,2005,Tourist/visitor arrivals (thousands),Tourism,VF,319.0,,Asia
1054,Kyrgyzstan,2010,Tourist/visitor arrivals (thousands),Tourism,VF,1224.0,,Asia
1055,Kyrgyzstan,2020,Tourist/visitor arrivals (thousands),Tourism,VF,2079.0,,Asia
1056,Kyrgyzstan,2021,Tourist/visitor arrivals (thousands),Tourism,VF,3169.0,,Asia
1057,Kyrgyzstan,2022,Tourist/visitor arrivals (thousands),Tourism,VF,6901.0,,Asia
1058,Kyrgyzstan,2005,Tourism expenditure (millions of US dollars),Tourism,TE,94.0,,Asia
1059,Kyrgyzstan,2010,Tourism expenditure (millions of US dollars),Tourism,TE,212.0,,Asia
1060,Kyrgyzstan,2020,Tourism expenditure (millions of US dollars),Tourism,TE,195.0,,Asia
1061,Kyrgyzstan,2021,Tourism expenditure (millions of US dollars),Tourism,TE,259.0,,Asia
1062,Kyrgyzstan,2022,Tourism expenditure (millions of US dollars),Tourism,TE,827.0,,Asia
1063,Lao People's Dem. Rep.,1995,Tourist/visitor arrivals (thousands),Tourism,TF,60.0,,Asia
1064,Lao People's Dem. Rep.,2005,Tourist/visitor arrivals (thousands),Tourism,TF,672.0,,Asia
1065,Lao People's Dem. Rep.,2010,Tourist/visitor arrivals (thousands),Tourism,TF,1670.0,,Asia
1066,Lao People's Dem. Rep.,2020,Tourist/visitor arrivals (thousands),Tourism,TF,812.0,,Asia
1067,Lao People's Dem. Rep.,1995,Tourism expenditure (millions of US dollars),Tourism,TE,52.0,,Asia
1068,Lao People's Dem. Rep.,2005,Tourism expenditure (millions of US dollars),Tourism,TE,143.0,,Asia
1069,Lao People's Dem. Rep.,2010,Tourism expenditure (millions of US dollars),Tourism,TE,385.0,,Asia
1070,Lao People's Dem. Rep.,2020,Tourism expenditure (millions of US dollars),Tourism,TE,227.0,,Asia
1071,Lao People's Dem. Rep.,2021,Tourism expenditure (millions of US dollars),Tourism,TE,6.0,,Asia
1072,Latvia,1995,Tourist/visitor arrivals (thousands),Tourism,TF,539.0,Non-resident departures. Survey of persons crossing the state border.,Europe
1073,Latvia,2005,Tourist/visitor arrivals (thousands),Tourism,TF,1116.0,Non-resident departures. Survey of persons crossing the state border.,Europe
1074,Latvia,2010,Tourist/visitor arrivals (thousands),Tourism,TF,1373.0,Non-resident departures. Survey of persons crossing the state border.,Europe
1075,Latvia,2020,Tourist/visitor arrivals (thousands),Tourism,TF,636.0,Non-resident departures. Survey of persons crossing the state border.,Europe
1076,Latvia,2021,Tourist/visitor arrivals (thousands),Tourism,TF,478.0,Non-resident departures. Survey of persons crossing the state border.,Europe
1077,Latvia,1995,Tourism expenditure (millions of US dollars),Tourism,TE,37.0,,Europe
1078,Latvia,2005,Tourism expenditure (millions of US dollars),Tourism,TE,446.0,,Europe
1079,Lebanon,1995,Tourist/visitor arrivals (thousands),Tourism,TF,450.0,"Excluding the Lebanon, Syria and Palestine nationalities.",Asia
